,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
0,11151864,turnhout,2300,Steenweg op Gierle,84,51.3162867,4.9322054,HOUSE,HOUSE,175000.0,BUY_REGULAR,,120.0,SEMI_EQUIPPED,1.0,,1,1.0,,1.0,,227.0,3.0,,TO_RENOVATE,True
1,11154023,beringen,3582,Heesterweg,39,51.065132,5.2272306,HOUSE,HOUSE,249000.0,BUY_REGULAR,1.0,157.0,,1.0,,0,,,,,1186.0,4.0,,TO_BE_DONE_UP,True
2,11141961,sint-joost-ten-node,1210,,,,,APARTMENT,FLAT_STUDIO,120000.0,BUY_REGULAR,,33.0,NOT_INSTALLED,1.0,,0,1.0,6.0,,,,,,TO_BE_DONE_UP,True
3,11150522,gavere,9890,Slaapstraat,8,50.9145933,3.6505555,HOUSE_GROUP,HOUSE_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
4,11145864,comblain-fairon,4180,Rue du Ruisseau,1,50.4460273,5.5428264,HOUSE,HOUSE,499000.0,BUY_REGULAR,21.0,280.0,INSTALLED,1.0,,0,,,,,1323.0,,,,True
5,11163132,nijvel,1400,,,,,HOUSE,HOUSE,375000.0,BUY_REGULAR,,160.0,INSTALLED,1.0,0.0,0,,,,,261.0,4.0,,,True
6,11158977,elsene,1050,Rue Souveraine,41,50.8327332,4.3641305,APARTMENT,APARTMENT,325000.0,BUY_REGULAR,,59.0,USA_SEMI_EQUIPPED,1.0,0.0,0,,,,,,2.0,0.0,AS_NEW,True
7,10851681,marcinelle,6001,,,,,HOUSE,VILLA,320000.0,BUY_REGULAR,,135.0,INSTALLED,1.0,0.0,0,,,,,780.0,4.0,,AS_NEW,True
8,11159690,gent,9000,Sint-Katelijnestraat,16,51.0590626,3.7280884,HOUSE,MIXED_USE_BUILDING,895000.0,BUY_REGULAR,1.0,561.0,,,,0,,,1.0,30.0,264.0,2.0,,TO_RENOVATE,True
9,10818793,knokke-heist,8300,Kustlaan,115,51.3543994,3.2977628,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
10,11144974,florenville,6820,rue des écoles,7,49.715166,5.233625,HOUSE,HOUSE,175000.0,BUY_REGULAR,,195.0,SEMI_EQUIPPED,1.0,,0,,,,,142.0,2.0,,GOOD,True
11,11072105,brussel,1040,Rue Guimard,19,50.8435094,4.3702633,APARTMENT,APARTMENT,650000.0,BUY_REGULAR,,216.0,INSTALLED,1.0,0.0,0,,,,,,3.0,0.0,AS_NEW,True
12,11158864,dilsen-stokkem,3650,Haverstraat,20,51.0349297,5.7175208,HOUSE,HOUSE,375000.0,BUY_REGULAR,15.0,239.0,,,,0,,,,,528.0,,,,True
13,11129303,de haan,8420,Torenhofstraat,2,51.2571575,2.9994248,APARTMENT,APARTMENT,119000.0,BUY_REGULAR,1.0,48.0,,,,0,,,,,,,,GOOD,True
14,11155131,vorselaar,2290,Kempenlaan,"2, D",51.2026925,4.7683497,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,75.0,SEMI_EQUIPPED,1.0,,1,1.0,,,,,3.0,,GOOD,True
15,11156544,grobbendonk,2280,Netestraat,1c,51.1879352,4.739096,HOUSE,HOUSE,349000.0,BUY_REGULAR,,185.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,,,,152.0,3.0,,GOOD,True
16,11151125,liège,4000,rue de la Tonne,308,50.6624666,5.5558704,HOUSE,HOUSE,239000.0,BUY_REGULAR,13.0,105.0,NOT_INSTALLED,1.0,0.0,0,1.0,15.0,1.0,113.0,229.0,2.0,0.0,GOOD,True
17,11007833,strombeek-bever,1853,Klauwaartslaan,2,50.9040265,4.3533926,HOUSE,HOUSE,645000.0,BUY_REGULAR,,,INSTALLED,1.0,0.0,0,,,,,383.0,3.0,0.0,GOOD,True
